time_min,desks_used,desks_queue,tables_used,tables_queue,couches_used,couches_queue,cumulative_balks,total_arrivals
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,2,0,0,2
3,0,0,0,0,2,0,0,2
4,0,0,0,0,2,0,0,2
5,1,0,0,0,3,0,0,4
6,1,0,0,0,3,0,0,4
7,1,0,0,0,5,0,0,6
8,1,0,0,0,5,0,0,6
9,1,0,0,0,5,0,0,6
10,1,0,0,0,5,0,0,6
11,1,0,0,0,6,0,0,7
12,1,0,0,0,6,0,0,7
13,1,0,0,0,7,0,0,8
14,1,0,0,0,7,0,0,8
15,1,0,0,0,7,0,0,8
16,1,0,0,0,7,1,0,9
17,1,0,0,0,7,1,0,9
18,1,0,0,0,7,2,0,10
19,1,0,0,0,7,2,0,10
20,1,0,1,0,7,2,0,11
21,1,0,1,0,7,2,0,11
22,4,0,2,0,7,1,0,14
23,4,0,2,0,7,0,0,14
24,4,0,2,0,7,0,0,15
25,4,0,2,0,7,0,0,15
26,5,0,2,0,7,0,0,16
27,6,0,2,0,7,0,0,17
28,7,0,2,0,7,0,0,18
29,7,0,2,0,7,0,0,19
30,7,0,2,0,6,0,0,19
31,8,0,2,0,7,2,0,23
32,8,0,2,0,7,3,0,24
33,8,0,2,0,7,3,0,24
34,8,0,2,0,7,3,0,24
35,8,0,4,0,7,1,0,24
36,8,0,5,0,7,0,0,24
37,8,0,5,0,7,0,0,24
38,8,0,5,0,7,0,0,25
39,8,0,5,0,7,0,0,25
40,9,0,5,0,7,0,0,26
41,9,0,5,0,7,0,0,27
42,10,0,5,0,7,1,0,29
43,10,0,5,0,7,1,0,29
44,10,0,5,0,7,3,0,31
45,10,0,5,0,7,4,0,32
46,10,0,5,0,7,3,0,32
47,10,0,5,0,7,3,0,32
48,11,0,7,0,7,2,0,34
49,11,0,8,0,7,1,0,34
50,11,0,7,0,7,0,0,34
51,11,0,7,0,7,0,0,34
52,12,0,7,0,7,0,0,36
53,12,0,7,0,7,1,0,37
54,12,0,7,0,7,2,0,39
55,13,0,6,0,7,2,0,40
56,14,0,6,0,7,1,0,41
57,14,0,5,0,7,1,0,41
58,14,0,6,0,7,0,0,41
59,14,0,6,0,7,0,0,41
60,14,0,6,0,7,1,0,42
61,15,0,6,0,7,2,0,44
62,15,0,6,0,7,3,0,45
63,15,0,6,0,7,3,0,45
64,15,0,7,0,7,2,0,45
65,15,0,8,0,7,1,0,45
66,15,0,9,0,7,0,0,45
67,17,0,9,0,7,2,0,49
68,17,0,9,0,7,2,0,49
69,18,0,8,0,7,5,0,53
70,18,0,8,0,7,4,0,53
71,18,0,9,0,7,3,0,53
72,18,0,8,0,7,5,0,55
73,18,0,11,0,7,2,0,55
74,18,0,11,0,7,3,0,56
